Date,Country,Confirmed,Recovered,Deaths
2020-02-05,Afghanistan,0,0,0
2020-02-05,Albania,0,0,0
2020-02-05,Algeria,0,0,0
2020-02-05,Andorra,0,0,0
2020-02-05,Angola,0,0,0
2020-02-05,Antigua and Barbuda,0,0,0
2020-02-05,Argentina,0,0,0
2020-02-05,Armenia,0,0,0
2020-02-05,Australia,13,2,0
2020-02-05,Austria,0,0,0
2020-02-05,Azerbaijan,0,0,0
2020-02-05,Bahamas,0,0,0
2020-02-05,Bahrain,0,0,0
2020-02-05,Bangladesh,0,0,0
2020-02-05,Barbados,0,0,0
2020-02-05,Belarus,0,0,0
2020-02-05,Belgium,1,0,0
2020-02-05,Belize,0,0,0
2020-02-05,Benin,0,0,0
2020-02-05,Bhutan,0,0,0
2020-02-05,Bolivia,0,0,0
2020-02-05,Bosnia and Herzegovina,0,0,0
2020-02-05,Botswana,0,0,0
2020-02-05,Brazil,0,0,0
2020-02-05,Brunei,0,0,0
2020-02-05,Bulgaria,0,0,0
2020-02-05,Burkina Faso,0,0,0
2020-02-05,Burma,0,0,0
2020-02-05,Burundi,0,0,0
2020-02-05,Cabo Verde,0,0,0
2020-02-05,Cambodia,1,0,0
2020-02-05,Cameroon,0,0,0
2020-02-05,Canada,5,0,0
2020-02-05,Central African Republic,0,0,0
2020-02-05,Chad,0,0,0
2020-02-05,Chile,0,0,0
2020-02-05,China,27440,1115,563
2020-02-05,Colombia,0,0,0
2020-02-05,Congo (Brazzaville),0,0,0
2020-02-05,Congo (Kinshasa),0,0,0
2020-02-05,Costa Rica,0,0,0
2020-02-05,Cote d'Ivoire,0,0,0
2020-02-05,Croatia,0,0,0
2020-02-05,Cuba,0,0,0
2020-02-05,Cyprus,0,0,0
2020-02-05,Czechia,0,0,0
2020-02-05,Denmark,0,0,0
2020-02-05,Diamond Princess,0,0,0
2020-02-05,Djibouti,0,0,0
2020-02-05,Dominica,0,0,0
2020-02-05,Dominican Republic,0,0,0
2020-02-05,Ecuador,0,0,0
2020-02-05,Egypt,0,0,0
2020-02-05,El Salvador,0,0,0
2020-02-05,Equatorial Guinea,0,0,0
2020-02-05,Eritrea,0,0,0
2020-02-05,Estonia,0,0,0
2020-02-05,Eswatini,0,0,0
2020-02-05,Ethiopia,0,0,0
2020-02-05,Fiji,0,0,0
2020-02-05,Finland,1,0,0
2020-02-05,France,6,0,0
2020-02-05,Gabon,0,0,0
2020-02-05,Gambia,0,0,0
2020-02-05,Georgia,0,0,0
2020-02-05,Germany,12,0,0
2020-02-05,Ghana,0,0,0
2020-02-05,Greece,0,0,0
2020-02-05,Grenada,0,0,0
2020-02-05,Guatemala,0,0,0
2020-02-05,Guinea,0,0,0
2020-02-05,Guinea-Bissau,0,0,0
2020-02-05,Guyana,0,0,0
2020-02-05,Haiti,0,0,0
2020-02-05,Holy See,0,0,0
2020-02-05,Honduras,0,0,0
2020-02-05,Hungary,0,0,0
2020-02-05,Iceland,0,0,0
2020-02-05,India,3,0,0
2020-02-05,Indonesia,0,0,0
2020-02-05,Iran,0,0,0
2020-02-05,Iraq,0,0,0
2020-02-05,Ireland,0,0,0
2020-02-05,Israel,0,0,0
2020-02-05,Italy,2,0,0
2020-02-05,Jamaica,0,0,0
2020-02-05,Japan,22,1,0
2020-02-05,Jordan,0,0,0
2020-02-05,Kazakhstan,0,0,0
2020-02-05,Kenya,0,0,0
2020-02-05,"Korea, South",19,0,0
2020-02-05,Kosovo,0,0,0
2020-02-05,Kuwait,0,0,0
2020-02-05,Kyrgyzstan,0,0,0
2020-02-05,Laos,0,0,0
2020-02-05,Latvia,0,0,0
2020-02-05,Lebanon,0,0,0
2020-02-05,Liberia,0,0,0
2020-02-05,Libya,0,0,0
2020-02-05,Liechtenstein,0,0,0
2020-02-05,Lithuania,0,0,0
2020-02-05,Luxembourg,0,0,0
2020-02-05,MS Zaandam,0,0,0
2020-02-05,Madagascar,0,0,0
2020-02-05,Malawi,0,0,0
2020-02-05,Malaysia,12,0,0
2020-02-05,Maldives,0,0,0
2020-02-05,Mali,0,0,0
2020-02-05,Malta,0,0,0
2020-02-05,Mauritania,0,0,0
2020-02-05,Mauritius,0,0,0
2020-02-05,Mexico,0,0,0
2020-02-05,Moldova,0,0,0
2020-02-05,Monaco,0,0,0
2020-02-05,Mongolia,0,0,0
2020-02-05,Montenegro,0,0,0
2020-02-05,Morocco,0,0,0
2020-02-05,Mozambique,0,0,0
2020-02-05,Namibia,0,0,0
2020-02-05,Nepal,1,0,0
2020-02-05,Netherlands,0,0,0
2020-02-05,New Zealand,0,0,0
2020-02-05,Nicaragua,0,0,0
2020-02-05,Niger,0,0,0
2020-02-05,Nigeria,0,0,0
2020-02-05,North Macedonia,0,0,0
2020-02-05,Norway,0,0,0
2020-02-05,Oman,0,0,0
2020-02-05,Pakistan,0,0,0
2020-02-05,Panama,0,0,0
2020-02-05,Papua New Guinea,0,0,0
2020-02-05,Paraguay,0,0,0
2020-02-05,Peru,0,0,0
2020-02-05,Philippines,2,0,1
2020-02-05,Poland,0,0,0
2020-02-05,Portugal,0,0,0
2020-02-05,Qatar,0,0,0
2020-02-05,Romania,0,0,0
2020-02-05,Russia,2,0,0
2020-02-05,Rwanda,0,0,0
2020-02-05,Saint Kitts and Nevis,0,0,0
2020-02-05,Saint Lucia,0,0,0
2020-02-05,Saint Vincent and the Grenadines,0,0,0
2020-02-05,San Marino,0,0,0
2020-02-05,Sao Tome and Principe,0,0,0
2020-02-05,Saudi Arabia,0,0,0
2020-02-05,Senegal,0,0,0
2020-02-05,Serbia,0,0,0
2020-02-05,Seychelles,0,0,0
2020-02-05,Sierra Leone,0,0,0
2020-02-05,Singapore,28,0,0
2020-02-05,Slovakia,0,0,0
2020-02-05,Slovenia,0,0,0
2020-02-05,Somalia,0,0,0
2020-02-05,South Africa,0,0,0
2020-02-05,South Sudan,0,0,0
2020-02-05,Spain,1,0,0
2020-02-05,Sri Lanka,1,0,0
2020-02-05,Sudan,0,0,0
2020-02-05,Suriname,0,0,0
2020-02-05,Sweden,1,0,0
2020-02-05,Switzerland,0,0,0
2020-02-05,Syria,0,0,0
2020-02-05,Taiwan*,11,0,0
2020-02-05,Tanzania,0,0,0
2020-02-05,Thailand,25,5,0
2020-02-05,Timor-Leste,0,0,0
2020-02-05,Togo,0,0,0
2020-02-05,Trinidad and Tobago,0,0,0
2020-02-05,Tunisia,0,0,0
2020-02-05,Turkey,0,0,0
2020-02-05,US,11,0,0
2020-02-05,Uganda,0,0,0
2020-02-05,Ukraine,0,0,0
2020-02-05,United Arab Emirates,5,0,0
2020-02-05,United Kingdom,2,0,0
2020-02-05,Uruguay,0,0,0
2020-02-05,Uzbekistan,0,0,0
2020-02-05,Venezuela,0,0,0
2020-02-05,Vietnam,8,1,0
2020-02-05,West Bank and Gaza,0,0,0
